#Vertex_X,Vertex_Y,Vertex_Z,Normal_X,Normal_Y,Normal_Z
-96.05999755859375,-86.83999633789062,0.0,0.9987457990646362,0.05006704106926918,0.0
-96.06500244140625,-86.74015808105469,0.0,0.9996863603591919,0.025041373446583748,0.0
-96.06500244140625,-86.64012145996094,0.0,0.9999998807907104,0.000533861864823848,0.0
-96.06510925292969,-86.54008483886719,0.0,0.9999380111694336,0.011135445907711983,0.0
-96.06723022460938,-86.44007110595703,0.0,0.9997744560241699,0.021240966394543648,0.0
-96.0693588256836,-86.3400650024414,0.0,0.998835027217865,-0.04825504124164581,0.0
-96.05764770507812,-86.24113464355469,0.0,0.9891073107719421,-0.14719603955745697,0.0
-96.03997039794922,-86.14266967773438,0.0,0.9504207372665405,-0.3109670579433441,0.0
-95.9966812133789,-86.05413818359375,0.0,0.872490644454956,-0.4886308014392853,0.0
-95.9430160522461,-85.96971893310547,0.0,0.8358154296875,-0.5490105152130127,0.0
-95.88685607910156,-85.8869400024414,0.0,0.7955753803253174,-0.6058545708656311,0.0
-95.82249450683594,-85.81138610839844,0.0,0.712734580039978,-0.7014338374137878,0.0
-95.74739074707031,-85.74530792236328,0.0,0.5656639337539673,-0.8246358633041382,0.0
-95.65946960449219,-85.69943237304688,0.0,0.41853755712509155,-0.9081994295120239,0.0
-95.56687927246094,-85.66215515136719,0.0,0.2934229373931885,-0.9559827446937561,0.0
-95.46910095214844,-85.64102172851562,0.0,0.18610699474811554,-0.9825294613838196,0.0
-95.37078094482422,-85.625,0.0,0.0806797668337822,-0.9967401027679443,0.0
-95.270751953125,-85.625,0.0,0.0,-1.0,0.0
-95.17070770263672,-85.625,0.0,0.002478811889886856,-0.9999969005584717,0.0
-95.0706787109375,-85.62450408935547,0.0,0.010982733219861984,-0.9999397397041321,0.0
-94.97065734863281,-85.622802734375,0.0,0.01693185418844223,-0.9998566508293152,0.0
-94.87064361572266,-85.6211166381836,0.0,0.013995682820677757,-0.9999021291732788,0.0
-94.77061462402344,-85.62000274658203,0.0,0.005567585118114948,-0.9999845027923584,0.0
-94.67057800292969,-85.62000274658203,0.0,-3.8133006455609575e-05,-1.0,0.0
-94.57054138183594,-85.62001037597656,0.0,0.0,-1.0,0.0
-94.47050476074219,-85.62000274658203,0.0,3.8133006455609575e-05,-1.0,0.0
-94.37047576904297,-85.62000274658203,0.0,0.0,-1.0,0.0
-94.27043914794922,-85.62000274658203,0.0,0.0,-1.0,0.0
-94.17039489746094,-85.62000274658203,0.0,0.0,-1.0,0.0
-94.07036590576172,-85.62000274658203,0.0,0.0,-1.0,0.0
-93.97032928466797,-85.62000274658203,0.0,0.0037753749638795853,-0.999992847442627,0.0
